t(s)	theta(rad)
0.360000	-0.470192
0.920000	0.488169
1.840000	0.473857
2.760000	0.450295
3.680000	0.417832
4.600000	0.386765
5.520000	0.359538
6.440000	0.333881
7.360000	0.303862
8.280000	0.281871
9.200000	0.260927
10.080000	0.236492
11.000000	0.216944
11.880000	0.190415
12.800000	0.165876
13.680000	0.143902
14.600000	0.128072
15.480000	0.112836
16.360000	0.095347
17.280000	0.080390
18.160000	0.067108
19.040000	0.055275
19.920000	0.044907
20.760000	0.035483
21.600000	0.027245
22.480000	0.021642
23.280000	0.017698
24.080000	0.014696
