t(s)	theta(rad)
1.120000	0.482409
2.240000	0.441219
3.360000	0.424115
4.480000	0.395143
5.600000	0.369312
6.680000	0.345052
7.800000	0.322886
8.920000	0.310145
10.040000	0.283441
11.160000	0.264592
12.240000	0.242077
13.360000	0.223577
14.480000	0.204029
15.560000	0.185354
16.680000	0.155073
17.760000	0.137602
18.880000	0.123866
19.960000	0.133029
21.080000	0.123098
22.160000	0.109938
23.280000	0.096691
24.360000	0.086446
25.440000	0.075451
26.520000	0.064944
27.640000	0.055240
28.720000	0.046199
29.800000	0.034383
30.880000	0.025360
31.960000	0.020944
33.040000	0.004939
34.120000	0.006353
35.200000	-0.006283
36.280000	-0.005376
37.320000	-0.018343
38.280000	-0.020508
39.440000	-0.016214
40.480000	-0.028239
41.480000	-0.030316
42.480000	-0.032760
